Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,17:45,01:35 28 Mar,7h 50m,1 stop,No info,7845
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,19:00 28 May,28h,1 stop,In-flight meal not included,12898
IndiGo,21/06/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540
Air India,6/06/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,23:15,17h 25m,2 stops,No info,12723
Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:45,12h 15m,1 stop,No info,12615
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,10:20,21:00,10h 40m,1 stop,No info,7485
IndiGo,6/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4174
Vistara,9/06/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,4878
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1 stop,No info,8018
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,In-flight meal not included,10577
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,18:15,19:00 28 May,24h 45m,1 stop,In-flight meal not included,12898
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,07:40 07 Mar,23h 40m,1 stop,No info,14815
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,14:00,04:25 22 Mar,14h 25m,1 stop,In-flight meal not included,7438
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,18:10,11h 40m,1 stop,In-flight meal not included,10031
Air Asia,18/05/2019,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 19 May,10h 25m,1 stop,No info,7452
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,21:20,7h 15m,1 stop,In-flight meal not included,7832
Air Asia,21/05/2019,Kolkata,Banglore,CCU → BLR,09:45,12:15,2h 30m,non-stop,No info,4409
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 13 May,28h 50m,1 stop,No info,13067
IndiGo,24/06/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,16:20,9h 50m,1 stop,In-flight meal not included,9899
SpiceJet,15/05/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 16 May,1h 30m,non-stop,No check-in baggage included,1965
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,No info,9001
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,12:35 16 Jun,18h 20m,1 stop,In-flight meal not included,10262
IndiGo,15/06/2019,Delhi,Cochin,DEL → PNQ → COK,23:30,04:35 16 Jun,5h 5m,1 stop,No info,10112
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 13 Jun,12h 10m,1 stop,No info,13044
Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 07 Jun,22h 55m,2 stops,No info,13014
IndiGo,1/04/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15 02 Apr,5h 15m,1 stop,No info,5930
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 10 Jun,12h 10m,1 stop,No info,13731
IndiGo,24/05/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943
IndiGo,1/06/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 02 Jun,3h,non-stop,No info,3943
IndiGo,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,12:10,17:05,4h 55m,1 stop,No info,9694
Air India,27/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,09:45,09:25 28 Mar,23h 40m,2 stops,No info,7090
Air India,6/05/2019,Kolkata,Banglore,CCU → DEL → VGA → BLR,07:00,10:00 07 May,27h,2 stops,No info,14508
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,19:00 04 Jun,28h,1 stop,In-flight meal not included,10262
Jet Airways,3/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,18:50,7h 20m,1 stop,No info,18550
Air India,1/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,13:45 02 May,27h 45m,2 stops,No info,15164
Jet Airways,15/06/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,7229
